city,air_quality_index,co,no2,o2,particulate_matter_10,particulate_matter_25,so2,date,time
Sydney,29,31.5,9.0,33.0,10.0,7.0,19.0,2024-04-23,21:00:00
Sydney,8,61.3,50.0,15.7,2.0,2.0,8.0,2024-04-23,20:00:00
Sydney,8,121.0,15.0,17.3,5.0,2.0,8.0,2024-04-23,19:00:00
Sydney,21,121.0,129.0,3.5,11.0,5.0,8.0,2024-04-23,18:00:00
Sydney,35,121.0,79.0,2.2,11.5,8.5,8.0,2024-04-23,17:00:00
Sydney,21,121.0,65.0,3.5,14.0,5.0,23.0,2024-04-23,16:00:00
Sydney,33,28.0,7.0,35.0,11.0,8.0,17.0,2024-04-23,15:00:00
Sydney,21,121.0,100.0,3.5,14.0,5.0,61.0,2024-04-23,14:00:00
Sydney,42,164.0,21.7,17.7,13.0,10.0,15.7,2024-04-23,13:00:00
Sydney,46,232.0,29.0,9.1,14.0,11.0,15.0,2024-04-23,12:00:00
Sydney,42,164.2,21.0,7.8,22.5,10.0,16.0,2024-04-23,11:00:00
Sydney,46,96.4,13.0,13.5,16.7,11.0,17.0,2024-04-23,10:00:00
Sydney,46,28.6,5.0,15.7,18.0,11.0,18.0,2024-04-23,09:00:00
Sydney,53,121.0,43.5,15.6,18.5,13.5,8.0,2024-04-23,08:00:00
Sydney,37,121.0,8.0,31.6,12.5,9.0,8.0,2024-04-23,07:00:00
Sydney,32,343.0,29.0,22.5,35.0,3.0,15.0,2024-04-23,06:00:00
Sydney,21,237.4,21.7,29.4,5.0,5.0,26.3,2024-04-23,05:00:00
Sydney,12,131.8,15.0,26.1,4.0,1.0,37.7,2024-04-23,04:00:00
Sydney,29,26.3,7.0,58.0,12.0,7.0,49.0,2024-04-23,03:00:00
Sydney,12,26.7,8.0,20.8,3.0,3.0,48.3,2024-04-23,02:00:00
Sydney,56,121.0,15.0,14.3,25.5,15.0,8.0,2024-04-23,01:00:00
Sydney,62,27.4,10.0,2.6,17.5,17.5,47.0,2024-04-23,00:00:00
Sydney,50,343.0,93.0,0.9,54.0,6.0,8.0,2024-04-22,23:00:00
Sydney,35,232.0,103.5,1.3,18.0,8.5,8.0,2024-04-22,22:00:00
Sydney,59,29.8,18.0,30.0,26.0,16.0,35.0,2024-04-22,21:00:00
Sydney,44,232.0,96.5,1.3,22.0,10.5,8.0,2024-04-22,20:00:00
Sydney,37,232.0,93.0,1.3,20.5,9.0,8.0,2024-04-22,19:00:00
Sydney,37,232.0,107.5,0.9,14.5,9.0,8.0,2024-04-22,18:00:00
Sydney,55,121.0,107.5,1.7,14.5,14.5,8.0,2024-04-22,17:00:00
Sydney,40,121.0,107.5,1.7,16.0,9.5,8.0,2024-04-22,16:00:00
Sydney,72,21.6,0.0,57.0,34.0,22.0,2.0,2024-04-22,15:00:00
Sydney,37,121.0,136.0,1.3,20.5,9.0,8.0,2024-04-22,14:00:00
Sydney,54,21.2,139.5,1.3,19.0,14.0,8.0,2024-04-22,13:00:00
Sydney,42,21.0,122.0,0.9,13.0,10.0,8.0,2024-04-22,12:00:00
Sydney,40,21.2,81.3,6.6,14.0,9.67,5.3,2024-04-22,11:00:00
Sydney,52,21.4,40.7,8.6,58.0,5.0,2.7,2024-04-22,10:00:00
Sydney,37,21.6,0.0,18.2,16.0,9.0,0.0,2024-04-22,09:00:00
Sydney,31,21.6,2.7,21.6,15.7,7.33,2.7,2024-04-22,08:00:00
