city,date,time,air_temperature,dew_point,relative_humidity,precipitation,snow_depth,wind_direction,avg_wind_speed,sea_level_pressure
Sydney,2024-04-18,00:00:00,21.0,17.0,78,0.0,,310,6.0,1017.0
Sydney,2024-04-18,01:00:00,22.0,13.6,59,0.0,,238,16.7,1016.7
Sydney,2024-04-18,02:00:00,21.0,16.0,73,0.0,,130,19.0,1015.0
Sydney,2024-04-18,03:00:00,22.8,12.1,51,0.0,,194,18.5,1015.3
Sydney,2024-04-18,04:00:00,20.0,18.0,88,0.0,,160,19.0,1013.0
Sydney,2024-04-18,05:00:00,20.0,16.0,78,0.0,,130,17.0,1014.0
Sydney,2024-04-18,06:00:00,20.1,13.8,67,0.0,,150,20.4,1014.2
Sydney,2024-04-18,07:00:00,19.7,13.4,67,0.0,,159,18.5,1014.6
Sydney,2024-04-18,08:00:00,20.0,16.0,78,0.0,,170,13.0,1014.0
Sydney,2024-04-18,09:00:00,18.6,13.0,70,0.0,,182,16.7,1015.6
Sydney,2024-04-18,10:00:00,19.0,16.0,83,0.0,,190,15.0,1015.0
Sydney,2024-04-18,11:00:00,18.0,14.1,78,0.0,,230,17.0,1015.0
Sydney,2024-04-18,12:00:00,17.2,12.9,76,0.0,,222,14.8,1015.9
Sydney,2024-04-18,13:00:00,16.5,12.5,77,0.0,,241,14.8,1015.9
Sydney,2024-04-18,14:00:00,16.0,12.0,77,0.0,,240,14.8,1015.8
Sydney,2024-04-18,15:00:00,15.2,11.4,78,0.0,,255,14.8,1015.6
Sydney,2024-04-18,16:00:00,14.7,10.5,76,0.0,,264,14.8,1015.2
Sydney,2024-04-18,17:00:00,14.2,10.0,76,0.0,,260,14.8,1015.0
Sydney,2024-04-18,18:00:00,13.8,9.8,77,0.0,,270,14.8,1014.9
Sydney,2024-04-18,19:00:00,13.0,11.1,88,0.0,,320,11.0,1015.0
Sydney,2024-04-18,20:00:00,14.0,10.0,77,0.0,,290,13.0,1015.0
Sydney,2024-04-18,21:00:00,14.0,9.0,72,0.0,,280,13.0,1016.0
Sydney,2024-04-18,22:00:00,17.0,8.9,59,0.0,,250,20.0,1016.0
Sydney,2024-04-18,23:00:00,17.0,8.9,59,0.0,,260,15.0,1016.0
Sydney,2024-04-19,00:00:00,19.0,8.9,52,0.0,,260,9.0,1017.0
Sydney,2024-04-19,01:00:00,18.3,10.1,59,0.0,,222,14.8,1016.9
Sydney,2024-04-19,02:00:00,19.1,10.4,57,0.0,,191,16.7,1016.7
Sydney,2024-04-19,03:00:00,19.0,10.8,59,0.0,,185,18.5,1016.7
Sydney,2024-04-19,04:00:00,20.0,13.0,64,0.0,,180,30.0,1017.0
Sydney,2024-04-19,05:00:00,19.0,14.1,73,0.0,,180,32.0,1017.0
Sydney,2024-04-19,06:00:00,19.0,13.0,68,0.0,,190,33.0,1018.0
Sydney,2024-04-19,07:00:00,19.0,13.0,68,0.0,,180,35.0,1018.0
Sydney,2024-04-19,08:00:00,17.8,13.3,75,0.0,,185,25.9,1019.3
Sydney,2024-04-19,09:00:00,17.9,13.0,73,0.0,,186,25.9,1020.0
Sydney,2024-04-19,10:00:00,18.6,13.2,71,0.0,,185,33.3,1021.0
Sydney,2024-04-19,11:00:00,18.2,13.3,73,0.0,,193,29.6,1021.3
Sydney,2024-04-19,12:00:00,19.0,14.1,73,0.2,,180,37.0,1021.0
Sydney,2024-04-19,13:00:00,19.0,14.1,73,0.2,,190,37.0,1021.0
Sydney,2024-04-19,14:00:00,18.0,14.1,78,0.0,,190,41.0,1021.0
Sydney,2024-04-19,15:00:00,18.0,15.1,83,0.4,,200,32.0,1021.0
Sydney,2024-04-19,16:00:00,17.0,14.1,83,0.4,,210,35.0,1021.0
Sydney,2024-04-19,17:00:00,17.0,12.9,77,0.0,,210,35.0,1021.0
Sydney,2024-04-19,18:00:00,17.1,14.2,83,0.4,,202,31.5,1021.8
Sydney,2024-04-19,19:00:00,17.0,16.0,94,1.2,,200,37.0,1022.0
Sydney,2024-04-19,20:00:00,17.0,15.0,88,0.7,,190,41.0,1022.0
Sydney,2024-04-19,21:00:00,16.8,14.1,84,0.5,,199,33.3,1023.2
Sydney,2024-04-19,22:00:00,17.0,15.0,88,0.4,,200,37.0,1023.0
Sydney,2024-04-19,23:00:00,17.0,15.0,88,0.2,,200,41.0,1024.0
Sydney,2024-04-20,00:00:00,17.0,15.0,88,0.5,,200,44.0,1024.0
Sydney,2024-04-20,01:00:00,17.0,15.0,88,1.0,,190,44.0,1024.0
Sydney,2024-04-20,02:00:00,16.0,15.0,94,0.7,,200,43.0,1024.0
